omimatricu;nombrenave;codigo_pais;id_agencia_arribo;codigotiponave;anoconstru;trb;dwt;eslora
1047993;ANTHEM;USA;900.371.443-5;516;2000;30;0;14
1049179;C.J.;USA;900.504.340-8;810;2000;24;30;13.12
1049407;AKKA;USA;806.013.086-3;516;2000;27;0;15.12
1049575;ENCHANTMENT;USA;9.085.696;516;2000;14;0;13.1
1049911;ZINGARO;USA;900.342.455-1;516;2000;7;0;11.09
1049973;SIBELLA;USA;900.504.340-8;516;2000;29;0;14.72
1050852;"S.Y. ""UNO MAS""";USA;806.013.086-3;516;2000;26;23;15.36
1052243;HONEY RYDER;USA;900.141.249-6;516;2000;21;0;12.18
1052688;CATALYST;USA;73.072.533;516;2000;18;0;13
1052759;ALLURE;USA;900.504.340-8;810;2000;24;16;12.11
1054018;BLUE JACKET;USA;900.141.249-6;516;2000;14;0;40.4
105418;THE SECOND LIFE;DEU;900.342.455-1;516;2000;4;0;9.25
1055300;CARIBBEAN PRIDE;VCT;800.195.272-5;1;2000;2196;5100;79.03
10553538;UNICE;USA;900.504.340-8;516;2000;19;0;10.45
1056129;TUMULTUOUS UPROAR;USA;900.025.233-2;516;2000;17;0;12.87
1056439;CONTINUUM;USA;900.371.443-5;516;2000;16;14;12
1056612;MY MUSE;USA;73.072.533;516;2000;19;0;12.98
10581ZA2006;KWINTE;NLD;830.511.560-7;516;2000;22;0;15.54
1058745;NAUTILUS;USA;900.025.233-2;516;2000;28;0;15.7
1058970;BLUE NOTE;USA;73.072.533;516;2000;18;3.5;12.25
1059222;"S.Y. ""AIRSTREAM""";USA;806.013.086-3;516;2000;20;0;12.8
1059248;HONEY RYDER;USA;806.004.474-1;516;2000;21;0;11.81
1059750;ISLENA;USA;806.013.086-3;516;2000;31;4;14.32
1059767;MOON;USA;900.504.340-8;516;2000;14;0;13.04
10606540;JOURNEY;USA;900.504.340-8;516;2000;12;0;11.25
1061432;JOYOUS;USA;73.072.533;516;2000;16;0;13.5
1061449;ERIE SPIRIT;USA;73.072.533;516;2000;24;0;14.5
1061620;OCEAN STAR;USA;73.072.533;516;2000;31;0;16.05
1061636;DRAGONSBANE;USA;891.701.623-1;516;2000;16;0;13.5
1061984;TENACIOUS;USA;900.504.340-8;810;2000;76;56;21.12
1062044;MAJOKRI;USA;900.371.443-5;516;2000;22;22;14.04
1062049;CHINOOK;USA;900.371.443-5;516;2000;69;0;18
1062809;NAUTILUS;USA;900.141.249-6;810;2000;36;0;52
1063052;"S.Y. ""INDIAN SUMMER""";USA;806.013.086-3;516;2000;14;0;11.92
1065;ARIANNE;ZAF;12.905.045-1;516;2000;6;0;10.8
1065292;BECAUSE;USA;900.473.090-7;516;2000;14;0;11.95
1065297;EL CHUPACABRA;USA;900.504.340-8;810;2000;59;60;19.43
1065616;PLEASANT LIVING;USA;900.025.233-2;516;2000;11;0;11.87
1066949;GOTCHA;USA;900.504.340-8;810;2000;62;102;19.93
1066950;FOUR PLAY;USA;73.072.533;516;2000;37;0;18
1067641;SUNSATION;USA;73.072.533;516;2000;18;0;14.1
1068048;CLICK THROUGH;USA;9.085.696;810;2000;97;160;20.72
1068252;JAVA TIME;USA;830.511.560-7;810;2000;58;58;17
1068381;SOGNARE;USA;73.072.533;516;2000;15;0;13.86
1069445;REACH;USA;73.072.533;516;2000;18;20;13
1070234;FIGMENT;USA;900.141.249-6;516;2000;46;0;15.12
1071019;Y-DREAM;USA;900.735.620-6;516;2000;17;0;40.5
1071045;KAIROS;USA;900.504.340-8;516;2000;27;0;15.2
1071046;KAIROS;USA;73.072.533;516;2000;27;0;16
1071192;VERITAS;USA;900.342.455-1;516;2000;10;0;12.16
1071700;DRANGOFLY;USA;900.504.340-8;516;2000;49;0;18.01
107174667;FREEDOM WON;USA;18.002.138-2;810;2000;19;25;22
1071818;PACIFICA;USA;900.504.340-8;516;2000;22;0;11.09
1071847;GABBY WRAY;USA;73.072.533;516;2000;19;0;15
1071892;MOONTIDE;USA;900.504.340-8;516;2000;42;0;14
1072035;FLYING CLOUD;USA;900.342.455-1;516;2000;19;0;13.45
1072508;LIBERTY;USA;900.141.249-6;516;2000;22;0;13.12
1072720;LA SIRENA;USA;73.072.533;516;2000;14;0;11.6
107272015;MAKAIRA;CUW;900.025.233-2;516;2000;86;0;25
1072753;VICARIOUS;USA;73.072.533;516;2000;12;0;11.7
10737;SHEER TENACITY;ZAF;900.371.443-5;516;2000;12;0;12
1074357;SLO & EZY;USA;900.330.976-3;516;2000;9;0;8.84
1074864;NEPENTHE;USA;900.290.842-2;516;2000;18;0;12.86
1075242;LAGNIAPPE;USA;900.025.233-2;516;2000;12;0;11.18
1075545;SEAS LIFE;USA;900.342.455-1;516;2000;23;6;13.2
1076186;RALEIGH B;COL;806.004.303-9;903;2000;489;220;67.9
1076262;KIONI;USA;73.072.533;516;2000;12;0;11.6
1077023;ISLAND SOL;USA;73.072.533;516;2000;16;0;13
1077510;DURGA;USA;900.025.233-2;516;2000;10;0;11.06
1077815;ENVY;USA;900.504.340-8;810;2000;48;38;17.01
1078414;TROTAMUNDOS;USA;900.342.455-1;516;2000;28;4;13.41
1078866;JMC 254;USA;800.116.249-8;1;2000;2115;0;0
1079198;AVENTURE;USA;900.141.249-6;516;2000;10;4;11.87
1079343;TWILIGHT;USA;9.085.696;516;2000;61;0;16.91
1080069;TIMELESS;USA;900.473.090-7;516;2000;20;0;14.63
1080119890;VALKIRI;USA;18.002.138-2;810;2000;5;7;11.7
1080450;ALBATROSS;USA;73.072.533;810;2000;19;2;12
1080524;RENEGADE;USA;73.072.533;516;2000;30;0;17.18
1081172;CAILIN LOMHARA;USA;900.025.233-2;516;2000;41;0;15.9
1081693;CIRQUE;USA;900.504.340-8;516;2000;17;0;14.3
10820;LALAMANZI;ZAF;900.342.455-1;516;2000;16;2;13.45
1082344;NAVY BLUE;USA;73.072.533;516;2000;15;0;11.17
1082456;DIVERSION;USA;73.072.533;516;2000;17;0;12.83
1083387;ALL,IN A DAYS WORK;USA;900.504.340-8;810;2000;61;94;18.51
1085410;SANS CLES;USA;900.342.455-1;516;2000;32;6;12.63
1085507;AKIMBO;USA;900.342.455-1;516;2000;12;0;13.4
1085560;SOOLAIMON;USA;900.371.443-5;516;2000;27;24;18
1085825;QUEEZY;USA;900.342.455-1;516;2000;51;0;15.25
1086182;KIANA;USA;900.290.842-2;516;2000;26;0;13.56
1086826;GRASSHOPPER;USA;900.025.233-2;516;2000;31;0;12.79
1087932;ON THE BRIGHT SIDE;USA;73.072.533;516;2000;27;0;14.2
1088430;ROXY DOG;USA;73.072.533;516;2000;15;0;12.7
1089585;IPANEMA;USA;891.701.623-1;516;2000;28;30;16
1090100;LLYR;USA;73.072.533;516;2000;22;0;15.2
1090121;LIFE AQUATIC;USA;900.342.455-1;516;2000;13;0;12.1
1090151;ESPIRITU;USA;900.504.340-8;516;2000;31;0;12.5
1090853;PAO SAN;USA;900.368.565-4;516;2000;27;0;15.97
1091140;SYLVESTER;USA;73.072.533;516;2000;31;0;13.71
1091199;LEGACY;USA;73.072.533;516;2000;22;0;14.33
1091653;MR MAC;USA;73.072.533;516;2000;36;0;14.06
1091754;GALILEO;USA;900.290.842-2;516;2000;18;4.5;11.92
1092878;GECKO;USA;900.504.340-8;516;2000;14;0;11.36
1093029;SCOUSER;USA;830.511.560-7;516;2000;13;0;11.1
1093441;TROPI-CAT;USA;900.473.090-7;516;2000;23;0;13.4
1093496;A VOLONTE;USA;900.342.455-1;516;2000;27;4;12.31
1093862;PARRANDA;USA;900.504.340-8;810;2000;59;36;17.8
1095023;EL CAMINO;USA;73.072.533;516;2000;22;0;15.16
1096111;ARTIC FRONT;USA;900.760.555-0;516;2000;29;0;13.48
1096480;KAYA;USA;73.072.533;516;2000;18;0;12.6
1096724;WHIZZBANG;USA;900.473.090-7;516;2000;31;0;16.07
1096862;SHERIC;USA;900.025.233-2;516;2000;17;0;13.03
1097067;SOLITUDE;USA;900.025.233-2;516;2000;46;0;16.82
1097319;BONZAI;USA;900.141.249-6;516;2000;18;0;11.56
1097580;YOLO;USA;73.072.533;516;2000;26;0;15.5
1097973;WAMUSKEWIN;USA;900.342.455-1;516;2000;25;0;12.75
1098517;LA FANTASTICA;USA;800.195.272-5;516;2000;33;0;15.84
1098851;SEAWAN;USA;901.190.594-5;510;2000;23;0;50
1099027;CTC;USA;900.342.455-1;810;2000;81;37;20.06
